cd E:/MLV_of_DPRAM/uvm
# UVM_INFO COV.sv(31) @ 295: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 295: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 21,pkt1.data1_out= 21
# UVM_INFO SB.sv(29) @ 295: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 21,add=53
# UVM_INFO SB.sv(32) @ 295: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 21,add=53
# UVM_INFO DRV.sv(39) @ 300: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 305: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 305: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 305: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 305: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    305                              
#   end_time                     time           64    300                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 310: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=37, inf.wr1=1
# UVM_INFO COV.sv(31) @ 315: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 315: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 21,pkt1.data1_out= 21
# UVM_INFO SB.sv(29) @ 315: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=160,add=37
# UVM_INFO SB.sv(32) @ 315: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 21,add=53
# UVM_INFO DRV.sv(39) @ 320: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 320: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 325: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 325: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 325: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 325: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    325                              
#   end_time                     time           64    320                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 330: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 18,inf.add0=62, inf.wr0=0
# UVM_INFO COV.sv(31) @ 335: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 335: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=160,pkt1.data1_out=160
# UVM_INFO SB.sv(29) @ 335: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in=160,add=37
# UVM_INFO SB.sv(32) @ 335: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=160,add=37
# UVM_INFO DRV.sv(39) @ 340: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 345: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 345: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 345: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 345: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    345                              
#   end_time                     time           64    340                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 350: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=62, inf.wr1=1
# UVM_INFO COV.sv(31) @ 355: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 355: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in=160,pkt1.data1_out=160
# UVM_INFO SB.sv(29) @ 355: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 18,add=62
# UVM_INFO SB.sv(32) @ 355: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out=160,add=37
# UVM_INFO DRV.sv(39) @ 360: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 360: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 365: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 365: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 365: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 365: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    365                              
#   end_time                     time           64    360                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(27) @ 370: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.data0_in= 30,inf.add0=50, inf.wr0=0
# UVM_INFO COV.sv(31) @ 375: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 375: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 18,pkt1.data1_out= 18
# UVM_INFO SB.sv(29) @ 375: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 18,add=62
# UVM_INFO SB.sv(32) @ 375: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 18,add=62
# UVM_INFO DRV.sv(39) @ 380: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO MON1.sv(31) @ 385: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 385: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 385: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 385: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# -------------------------------------------------------------------------------------
# Name                           Type           Size  Value                            
# -------------------------------------------------------------------------------------
# pkt                            dram_seq_item  -     @840                             
#   begin_time                   time           64    385                              
#   end_time                     time           64    380                              
#   depth                        int            32    'd2                              
#   parent sequence (name)       string         3     seq                              
#   parent sequence (full name)  string         33    uvm_test_top.env.agent1.seqr1.seq
#   sequencer                    string         29    uvm_test_top.env.agent1.seqr1    
# -------------------------------------------------------------------------------------
# UVM_INFO DRV.sv(32) @ 390: uvm_test_top.env.agent1.drv [DRV TRANSACTIONS] inf.add1=50, inf.wr1=1
# UVM_INFO COV.sv(31) @ 395: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 395: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 18,pkt1.data1_out= 18
# UVM_INFO SB.sv(29) @ 395: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 30,add=50
# UVM_INFO SB.sv(32) @ 395: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 18,add=62
# UVM_INFO DRV.sv(39) @ 400: uvm_test_top.env.agent1.drv [DRV] DRV TRANSACTION TO DUT
# UVM_INFO SEQ.sv(46) @ 400: uvm_test_top.env.agent1.seqr1@@seq [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO MON1.sv(31) @ 405: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 405: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 405: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 405: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# UVM_INFO COV.sv(31) @ 415: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 415: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 30,pkt1.data1_out= 30
# UVM_INFO SB.sv(29) @ 415: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 30,add=50
# UVM_INFO SB.sv(32) @ 415: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 30,add=50
# UVM_INFO MON1.sv(31) @ 425: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 425: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 425: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 425: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# UVM_INFO COV.sv(31) @ 435: uvm_test_top.env.cov [SEQ] SEQUENCE TRANSACTIONS
# UVM_INFO SB.sv(42) @ 435: uvm_test_top.env.sb [SB MATCHED] DATA pkt.data0_in= 30,pkt1.data1_out= 30
# UVM_INFO SB.sv(29) @ 435: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON1
# sb data_in= 30,add=50
# UVM_INFO SB.sv(32) @ 435: uvm_test_top.env.sb [SB] TRANSACTIONS FROM MON2
# sb data_out= 30,add=50
# UVM_INFO MON1.sv(31) @ 445: uvm_test_top.env.agent1.mon1 [MON1] MON1 TRANSACTIONS
# UVM_INFO MON1.sv(33) @ 445: uvm_test_top.env.agent1.mon1 [MON] MON TRANSACTIONS
# UVM_INFO MON2.sv(32) @ 445: uvm_test_top.env.agent2.mon2 [MON2] MON2 TRANSACTIONS
# UVM_INFO MON2.sv(35) @ 445: uvm_test_top.env.agent2.mon2 [MON] MON TRANSACTIONS
# UVM_INFO C:/questasim64_10.7c/verilog_src/uvm-1.1d/src/base/uvm_objection.svh(1267) @ 450: reporter [TEST_DONE] 'run' phase is ready to proceed to the 'extract' phase
# 
# --- UVM Report Summary ---
# 
# ** Report counts by severity
# UVM_INFO :  231
# UVM_WARNING :    0
# UVM_ERROR :    0
# UVM_FATAL :    0
# ** Report counts by id
# [DRV]    20
# [DRV TRANSACTIONS]    20
# [MON]    46
# [MON1]    22
# [MON2]    21
# [RNTST]     1
# [SB]    46
# [SB MATCHED]    22
# [SEQ]    32
# [TEST_DONE]     1
# ** Note: $finish    : C:/questasim64_10.7c/verilog_src/uvm-1.1d/src/base/uvm_root.svh(430)
#    Time: 450 ns  Iteration: 54  Instance: /dram_top
# 1
# Break in Task uvm_pkg/uvm_root::run_test at C:/questasim64_10.7c/verilog_src/uvm-1.1d/src/base/uvm_root.svh line 430
